
SOCCER B-MISC
- O
UEFA B-ORG
REWARDS O
THREE O
COUNTRIES O
FOR O
FAIR O
PLAY O
. O

GENEVA B-LOC
1996-08-22 O

Norway B-LOC
, O
England B-LOC
and O
Sweden B-LOC
were O
rewarded O
for O
their O
fair O
play O
on O
Thursday O
with O
an O
additional O
place O
in O
the O
1997-98 O
UEFA B-ORG
Cup O
competition O
. O

Norway B-LOC
headed O
the O
UEFA B-ORG
Fair O
Play O
rankings O
for O
1995-96 O
with O
8.62 O
points O
, O
ahead O
of O
England B-LOC
with O
8.61 O
and O
Sweden B-LOC
8.57 O
. O

The O
rankings O
are O
based O
on O
a O
formula O
that O
takes O
into O
account O
many O
factors O
including O
red O
and O
yellow O
cards O
, O
and O
coaching O
and O
spectators O
' O
behaviour O
at O
matches O
played O
at O
an O
international O
level O
by O
clubs O
and O
national O
teams O
. O

Only O
the O
top O
three O
countries O
are O
allocated O
additional O
places O
. O

The O
UEFA B-ORG
Fair O
Play O
rankings O
are O
: O
1 O
. O

Norway B-LOC
8.62 O
points O

2. O
England B-LOC
8.61 O

3. O
Sweden B-LOC
8.57 O

4. O
Faroe B-LOC
Islands I-LOC
8.56 O

5. O
Wales B-LOC
8.54 O

6. O
Estonia B-LOC
8.52 O

7. O
Ireland B-LOC
8.45 O

8. O
Belarus B-LOC
8.39 O

9. O
Iceland O
8.35 O

10. O
Netherlands B-LOC
8.30 O

10. O
Denmark B-LOC
8.30 O

10. O
Germany B-LOC
8.30 O

13. O
Scotland B-LOC
8.29 O

13. O
Latvia B-LOC
8.29 O

15. O
Moldova B-LOC
8.24 O

16. O
Yugoslavia B-LOC
8.22 O

16. O
Belgium B-LOC
8.22 O

18. O
Luxembourg B-LOC
8.20 O

19. O
France O
8.18 O

20. O
Israel O
8.17 O

21. O
Switzerland B-LOC
8.15 O

21. O
Slovakia B-LOC
8.15 O

23. O
Poland B-LOC
8.12 O

23. O
Portugal B-LOC
8.12 O

25. O
Georgia B-LOC
8.10 O

26. O
Ukraine B-LOC
8.09 O

26. O
Spain B-LOC
8.09 O

26. O
Finland B-LOC
8.09 O

29. O
Macedonia B-LOC
8.07 O

30. O
Lithuania B-LOC
8.06 O

31. O
Austria B-LOC
8.05 O

32. O
Russia B-LOC
8.03 O

33. O
Romania B-LOC
8.02 O

33. O
Turkey B-LOC
8.02 O

35. O
Hungary B-LOC
7.98 O

36. O
Czech B-LOC
Republic I-LOC
7.95 O

37. O
Greece B-LOC
7.89 O

37. O
Northern O
Ireland B-LOC
7.89 O

39. O
Italy B-LOC
7.85 O

40. O
Cyprus B-LOC
7.83 O

41. O
Armenia B-LOC
7.80 O

42. O
Slovenia B-LOC
7.77 O

43. O
Croatia B-LOC
7.75 O

44. O
Bulgaria B-LOC
7.73 O

45. O
Malta B-LOC
7.40 O

