
CRICKET B-ORG
- O
POLICE B-MISC
COMMANDOS I-MISC
ON O
HAND O
FOR O
AUSTRALIA B-LOC
NS O
' O
FIRST O
MATCH O
. O

COLOMBO B-LOC
1996-08-22 O

Armed O
police B-MISC
commandos I-MISC
patrolled O
the O
ground O
when O
Australia B-LOC
opened O
their O
short O
tour O
of O
Sri B-LOC
Lanka I-LOC
with O
a O
five-run O
win O
over O
the O
country O
's O
youth O
team O
on O
Thursday O
. O

Australia B-LOC
, O
in O
Sri B-LOC
Lanka I-LOC
for O
a O
limited O
overs O
tournament O
which O
also O
includes O
India B-LOC
and O
Zimbabwe B-LOC
, O
have O
been O
promised O
the O
presence O
of O
commandos O
, O
sniffer O
dogs B-MISC
and O
plainclothes O
policemen B-MISC
to O
ensure O
the O
tournament O
is O
trouble-free O
. O

They O
are O
making O
their O
first O
visit O
to O
the O
island O
since O
boycotting O
a O
World O
Cup O
fixture O
in O
February O
because O
of O
fears O
over O
ethnic O
violence O
. O

Australia B-LOC
, O
batting O
first O
in O
Thursday O
's O
the O
warm-up O
match O
, O
scored O
251 O
for O
seven O
from O
their O
50 O
overs O
. O

Ricky B-PER
Ponting I-PER
led O
the O
way O
with O
100 O
off O
119 O
balls O
with O
two O
sixes O
and O
nine O
fours O
before O
retiring O
. O

The O
youth O
side O
replied O
with O
246 O
for O
seven O
. O

Australia B-LOC
n O
coach O
Geoff B-PER
Marsh I-PER
said O
he O
was O
impressed O
with O
the O
competitiveness O
of O
the O
opposition O
. O

We O
were O
made O
to O
sweat O
to O
win O
, O
he O
said O
. O

