
CRICKET B-MISC
- I-MISC
ENGLAND I-MISC
NAME I-MISC
SQUAD I-MISC
FOR I-MISC
ONE-DAY I-MISC
INTERNATIONALS I-MISC
. O

LONDON B-LOC
1996-08-25 O

The B-ORG
England I-ORG
cricket I-ORG
squad I-ORG
was O
announced O
on O
Sunday O
for O
the O
one-day O
international O
series O
against O
Pakistan B-LOC
starting O
on O
Thursday O
. O

Squad O
: O
Michael B-PER
Atherton I-PER
( O
captain O
) O
, O
Alec B-PER
Stewart I-PER
, O
Graham B-PER
Thorpe I-PER
, O
Nick B-PER
Knight I-PER
, O
Graham B-PER
Lloyd I-PER
, O
Matthew B-PER
Maynard I-PER
, O
Ronnie B-PER
Irani I-PER
, O
Adam B-PER
Hollioake I-PER
, O
Robert B-PER
Croft I-PER
, O
Darren B-PER
Gough I-PER
, O
Peter B-PER
Martin I-PER
, O
Dean B-PER
Headley I-PER
, O
Alan B-PER
Mullally I-PER
. O

