
CRICKET B-ORG
- I-ORG
ENGLISH I-ORG
COUNTY I-ORG
CHAMPIONSHIP I-ORG
SCORES O
. O

LONDON B-LOC
1996-08-24 O

Close O
of O
play O
scores O
in O
four-day O

English O
County O
Championship O
cricket O
matches O
on O
Saturday O
: O

Final O
day O

At O
Weston-super-Mare O
: O
Match O
abandoned O
as O
a O
draw O
- O
rain O
. O

Durham B-PER
326 O
( O
D. B-PER
Cox I-PER
95 O
not O
out O
, O
S. B-PER
Campbell I-PER
69 O
; O
G. B-PER
Rose I-PER
7-73 O
) O
. O

Somerset B-PER
298-6 O
( O
M. B-PER
Lathwell I-PER
85 O
, O
R. B-PER
Harden I-PER
65 O
) O
. O

Somerset B-PER
9 O
points O
, O

Durham B-PER
8 O
. O

Third O
day O

At O
Colchester B-LOC
: O
Gloucestershire B-PER
280 O
and O
27-4 O
. O

Essex O
532-8 O

declared O
( O
G. B-PER
Gooch I-PER
111 O
, O
R. B-PER
Irani I-PER
91 O
, O
P. B-PER
Prichard I-PER
88 O
, O
D. B-PER
Robinson I-PER
72 O
; O

M. B-PER
Alleyne I-PER
4-80 O
) O
. O

At O
Cardiff O
: O
Kent O
255-3 O
( O
D. B-PER
Fulton I-PER
64 O
, O
M. B-PER
Walker I-PER
59 O
, O
C. O
Hooper O

52 O
not O
out O
) O
v O
Glamorgan B-LOC
. O

No O
play O
- O
rain O
. O

At O
Leicester O
: O
Leicestershire O
353 O
( O
P. O
Simmons O
108 O
, O
P. O
Nixon O
67 O
; O

S. O
Renshaw O
4-56 O
, O
J. O
Bovill O
4-102 O
) O
. O

Hampshire O
81-7 O
. O

At O
Northampton O
: O
Sussex O
389 O
and O
112 O
( O
C. B-PER
Ambrose I-PER
6-26 O
) O
. O

Northamptonshire B-LOC
361 O
( O
K. B-PER
Curran I-PER
117 O
, O
D. B-PER
Ripley I-PER
66 O
not O
out O
) O
and O

42-3 O
. O

At O
Trent O
Bridge O
: O
Nottinghamshire O
446-9 O
declared O
( O
G. O
Archer O

143 O
, O
M. O
Dowman O
107 O
, O
W. O
Noon O
57 O
; O
B. O
Julian O
4-104 O
) O
. O

Surrey O
128-4 O

( O
A. O
Brown O
56 O
not O
out O
) O
. O

At O
Worcester O
: O
Warwickshire B-LOC
310 O
( O
A. B-PER
Giles I-PER
83 O
, O
T. B-PER
Munton I-PER
54 O
not O

out O
, O
W. B-PER
Khan I-PER
52 O
; O
R. B-PER
Illingworth I-PER
4-54 O
, O
S. B-PER
Lampitt I-PER
4-90 O
) O
. O

Worcestershire O
205-9 O
( O
K. B-PER
Spiring I-PER
52 O
) O
. O

At O
Headingley O
: O
Yorkshire B-LOC
529-8 O
declared O
( O
C. B-PER
White I-PER
181 O
, O

R. B-PER
Blakey I-PER
109 O
not O
out O
, O
M. B-PER
Moxon I-PER
66 O
, O
M. B-PER
Vaughan I-PER
57 O
) O
. O

Lancashire B-LOC
323 O

( O
N. B-PER
Fairbrother I-PER
86 O
, O
M. B-PER
Watkinson I-PER
64 O
; O
D. B-PER
Gough I-PER
4-53 O
) O
and O
210-5 O

( O
N. B-PER
Speak I-PER
65 O
not O
out O
, O
N. B-PER
Fairbrother I-PER
55 O
) O
. O

