
RUGBY B-MISC
UNION O
- O
MULDER O
OUT O
OF O
SECOND O
TEST O
. O

JOHANNESBURG B-LOC
1996-08-23 O

Centre O
Japie B-PER
Mulder I-PER
has O
been O
ruled O
out O
of O
South B-ORG
Africa I-ORG
's I-ORG
team I-ORG
for O
the O
second O
test O
against O
New B-ORG
Zealand I-ORG
in O
Pretoria B-LOC
on O
Saturday O
. O

Mulder O
missed O
the O
first O
test O
in O
Durban B-LOC
with O
back O
spasms O
and O
failed O
a O
fitness O
check O
on O
Thursday O
. O

But O
new O
Springbok B-ORG
skipper O
Gary B-PER
Teichmann I-PER
has O
recovered O
from O
a O
bruised O
thigh O
and O
is O
ready O
to O
play O
, O
coach O
Andre B-PER
Markgraaff I-PER
said O
. O

Mulder O
's O
absence O
means O
that O
Northern B-ORG
Transvaal I-ORG
centre O
Andre B-PER
Snyman I-PER
should O
win O
his O
second O
cap O
alongside O
provincial O
colleague O
Danie B-PER
van I-PER
Schalkwyk I-PER
. O

Wing B-PER
Pieter I-PER
Hendriks I-PER
is O
expected O
to O
retain O
his O
place O
, O
following O
speculation O
that O
Snyman O
would O
be O
picked O
out O
of O
position O
on O
the O
wing O
. O

The O
line-up O
would O
not O
be O
announced O
until O
shortly O
before O
the O
start O
, O
Markgraaff O
said O
. O

