
GREEK B-MISC
SOCIALISTS I-MISC
GIVE O
GREEN O
LIGHT O
TO O
PM O
FOR O
ELECTIONS O
. O

ATHENS B-LOC
1996-08-22 O

The B-ORG
Greek I-ORG
socialist I-ORG
party I-ORG
's O
executive O
bureau O
gave O
the O
green O
light O
to O
Prime O
Minister O
Costas B-PER
Simitis I-PER
to O
call O
snap O
elections O
, O
its O
general O
secretary O
Costas B-PER
Skandalidis B-PER
 I-PER
told O
reporters O
. O

Prime O
Minister O
Costas B-PER
Simitis I-PER
is O
going O
to O
make O
an O
official O
announcement O
after O
a O
cabinet O
meeting O
later O
on O
Thursday O
, O
said O
Skandalidis B-PER
. O

-- O
Dimitris B-PER
Kontogiannis I-PER
, O
Athens B-LOC
Newsroom O
+301 O
3311812-4 O

