
MOTOR B-MISC
RACING I-MISC
- O
LEADING O
PLACINGS O
IN O
POKKA O
1,000 O
KM O
RACE O
. O

SUZUKA O
, O
Japan B-LOC
1996-08-25 O

Leading O
placings O
in O

Sunday O
's O
Pokka O
1,000 O
km O
motor O
race O
, O
seventh O
round O
of O
the O

International B-ORG
Endurance I-ORG
GT I-ORG
championship I-ORG
: O

1. O
Ray B-PER
Belim I-PER
( O
Britain B-LOC
) O
/ O
James B-PER
Weaver I-PER
( O
Britain B-LOC
) O
/ O
J.J.Lehto B-PER

( O
Finland B-LOC
) O
Gulf B-LOC
McLaren B-PER
FI O
GTR O
171 O
laps O
- O
6 O
hours O
18 O
minutes O

48.637 O
seconds O
( O
average O
speed O
158.82 O
kph O
) O

2 O
. B-PER
Anders I-PER
Olofsson I-PER
( O
Sweden B-LOC
) O
/ O
Luciano B-PER
della I-PER
Noce I-PER
( O
Italy O
) O
Ennea O

Ferrari O
F40 O
170 O
laps O

3. O
Andy B-PER
Ballace I-PER
( O
Britain B-LOC
) O
/ O
Olivier B-PER
Grouillard I-PER
( O
France B-LOC
) O
Harrods O

McLaren B-PER
FI O
GTR O
169 O

4 O
. B-PER
Thomas I-PER
Bscher I-PER
( O
Germany B-LOC
) O
/ O
Peter B-PER
Kox I-PER
( O
Netherlands B-LOC
) O
West O
McLaren B-PER

F1 O
GTR O
168 O

5. O
Fabien B-PER
Giroix I-PER
( O
France B-LOC
) O
/ O
Jean-Denis B-PER
Deletraz O
( O
Switzerland B-LOC
) O

Muller O
McLaren B-PER
F1 O
GTR O
167 O

6. O
Lindsay O
Owen-Jones B-PER
( O
Britain B-LOC
) O
/ O
Pierre-Henri B-PER
Raphanel B-PER
 I-PER

( O
France B-LOC
) O
/ O
David B-PER
Brabham I-PER
( O
Australia B-LOC
) O
Gulf B-LOC
McLaren B-PER
F O
! O

GTR O

167 O

7. O
Jean-Marc B-PER
Gounon I-PER
( O
France B-LOC
) O
  B-PER
Eric I-PER
Bernard I-PER
( O
France B-LOC
) O
/ O
Paul O

Belmondo O
( O
France B-LOC
) O
Ennea B-PER
Ferrari I-PER
F40 O
167 O

8. O
Bruno O
Eichmann O
( O
Germany B-LOC
) O
/ O
Gerd O
Ruch O
( O
Germany B-LOC
) O
/ O
Ralf B-PER
Kelleners I-PER

( O
Germany B-LOC
) O
GT2 O
Roock B-PER
Porsche I-PER
911 O
164 O

9. O
Stephane B-PER
Ortelli I-PER
( O
France B-LOC
) O
/ O
Bob B-PER
Wollek I-PER
( O
France B-LOC
) O
/ O
Franz B-PER
Konrad I-PER

( O
Austria O
) O
GT2 O
Konrad B-PER
Porsche I-PER
911 O
164 O

10. O
Cor B-PER
Euser I-PER
( O
Netherlands B-LOC
) O
/ O
H. B-PER
Wada I-PER
( O
Japan B-LOC
) O
/ O
N. B-PER
Furuya I-PER
( O
Japan B-LOC
) O
GT2 O

Marcos O
LM600 O
162 O

Fastest O
lap O
: O
Gounon O
, O
2 O
minutes O
03.684 O
seconds O
( O
170.680 O
kph O
) O

Championship O
standings O
after O
seven O
rounds O
: O

1. O
Belim O
, O
Weaver O
156 O
points O

2. O
Eichmann O
, O
Ruch O
116 O

3. O
Bscher O
112 O

4. O
Gounon O
, O
Bernard O
, O
Belmondo O
98 O

5. O
Olofsson O
, O
della B-PER
Noce I-PER
93 O

6. O
Owen-Jones B-PER
, O
Raphanel B-PER
82 O

