
SOCCER B-ORG
- O
FERGUSON O
BACK O
IN O
SCOTTISH B-MISC
SQUAD I-MISC
AFTER O
20 O
MONTHS O
. O

GLASGOW B-LOC
1996-08-22 O

Everton O
's O
Duncan O
Ferguson O
, O
who O
scored O
twice O
against O
Manchester B-MISC
United I-MISC
on O
Wednesday B-MISC
, O
was O
picked O
on O
Thursday B-MISC
for O
the O
Scottish B-MISC
squad I-MISC
after O
a O
20-month O
exile O
. O

Glasgow B-LOC
Rangers O
striker O
Ally B-PER
McCoist I-PER
, O
another O
man O
in O
form O
after O
two O
hat-tricks O
in O
four O
days O
, O
was O
also O
named O
for O
the O
August B-MISC
31 O
World B-MISC
Cup I-MISC
qualifier I-MISC
against O
Austria B-LOC
in O
Vienna B-LOC
. O

Ferguson O
, O
who O
served O
six O
weeks O
in O
jail O
in O
late O
1995 O
for O
head-butting O
an O
opponent O
, O
won O
the O
last O
of O
his O
five O
Scotland B-LOC
caps O
in O
December B-MISC
1994 O
. O

Scotland B-LOC
manager O
Craig B-PER
Brown I-PER
said O
on O
Thursday B-MISC
: O
I O
've O
watched O
Duncan O
Ferguson O
in O
action O
twice O
recently O
and O
he O
's O
bang O
in O
form O
. O

Ally B-PER
McCoist I-PER
is O
also O
in O
great O
scoring O
form O
at O
the O
moment O
. O

Celtic B-MISC
's O
Jackie B-PER
McNamara I-PER
, O
who O
did O
well O
with O
last O
season O
's O
successful O
under-21 O
team O
, O
earns O
a O
call-up O
to O
the O
senior O
squad O
. O

