
RUGBY B-ORG
UNION I-ORG
- O
MULDER B-PER
OUT O
OF O
SECOND B-MISC
TEST I-MISC
. O

JOHANNESBURG B-LOC
1996-08-23 O

Centre O
Japie O
Mulder B-PER
has O
been O
ruled O
out O
of O
South B-LOC
Africa I-LOC
's I-LOC
team O
for O
the O
second B-MISC
test I-MISC
against O
New B-LOC
Zealand I-LOC
in O
Pretoria B-LOC
on O
Saturday O
. O

Mulder B-PER
missed O
the O
first O
test O
in O
Durban O
with O
back O
spasms O
and O
failed O
a O
fitness B-MISC
check I-MISC
on O
Thursday O
. O

But O
new O
Springbok O
skipper O
Gary B-PER
Teichmann I-PER
has O
recovered O
from O
a O
bruised B-MISC
thigh I-MISC
and O
is O
ready O
to O
play O
, O
coach O
Andre B-PER
Markgraaff I-PER
said O
. O

Mulder B-PER
's O
absence O
means O
that O
Northern O
Transvaal O
centre O
Andre B-PER
Snyman I-PER
should O
win O
his O
second O
cap O
alongside O
provincial B-MISC
colleague I-MISC
Danie B-PER
van I-PER
Schalkwyk I-PER
. O

Wing B-PER
Pieter I-PER
Hendriks I-PER
is O
expected O
to O
retain B-MISC
his I-MISC
place I-MISC
, O
following O
speculation O
that O
Snyman O
would O
be O
picked O
out O
of O
position O
on O
the O
wing O
. O

The O
line-up O
would O
not O
be O
announced O
until O
shortly O
before O
the O
start O
, O
Markgraaff O
said O
. O

