
SOCCER B-MISC
- O
SWISS O
PREMIER O
DIVISION O
RESULTS O
/ O
STANDINGS O
. O

GENEVA B-LOC
1996-08-25 O

Results O
of O
Swiss O
premier O
division O

matches O
played O
at O
the O
weekend O
: O

Aarau O
1 O
Young O
Boys O
0 O

Grasshopper O
2 O
Lucerne O
2 O

Lugano O
1 O
Basle O
1 O

Neuchatel O
3 O
St O
Gallen O
0 O

Sion O
3 O
Servette O
1 O

Standings O
( O
tabulated O
under O
played O
, O
won O
, O
drawn O
, O
lost O
, O
goals O

for O
, O
against O
, O
points O
) O
: O

Neuchatel O
8 O
6 O
1 O
1 O
12 O
7 O
19 O

Grasshopper O
9 O
4 O
4 O
1 O
17 O
11 O
16 O

St. O
Gallen O
9 O
4 O
4 O
1 O
6 O
5 O
16 O

Lausanne O
9 O
4 O
2 O
3 O
18 O
13 O
14 O

Aarau O
8 O
4 O
1 O
3 O
9 O
4 O
13 O

Sion O
9 O
3 O
4 O
2 O
13 O
11 O
13 O

Zurich O
9 O
2 O
5 O
2 O
9 O
9 O
11 O

Basle O
8 O
2 O
3 O
3 O
12 O
11 O
9 O

Servette O
9 O
2 O
3 O
4 O
10 O
12 O
9 O

Lucerne O
8 O
1 O
5 O
2 O
10 O
11 O
8 O

Lugano O
9 O
1 O
4 O
4 O
6 O
15 O
7 O

Young O
Boys O
9 O
1 O
0 O
8 O
6 O
19 O
3 O

