
French B-MISC
1997 O
budget O
due O
around O
September O
10 O
- O
Juppe O
. O

BREGANCON O
, O
France B-LOC
1996-08-25 O

Prime O
Minister O
Alain B-PER
Juppe I-PER
said O
on O
Sunday O
the O
draft O
1997 O
budget O
and O
plans O
for O
funding O
the O
social O
security O
system O
would O
be O
pubished O
around O
September O
10 O
. O

The O
texts O
are O
practically O
ready O
, O
he O
told O
reporters O
after O
a O
weekend O
of O
talks O
with O
President O
Jacques B-PER
Chirac I-PER
in O
a O
Riviera O
fortress O
. O

The O
budget O
had O
been O
widely O
expected O
a O
week O
or O
so O
later O
. O

-- O
Paris B-ORG
newsroom I-ORG
+331 O
4221 O
5452 O

