
SOCCER B-MISC
- I-MISC
DUTCH I-MISC
FIRST I-MISC
DIVISION I-MISC
SUMMARIES O
. O

AMSTERDAM B-LOC
1996-08-25 O

Summary O
of O
Dutch O
first O
division O

soccer O
played O
on O
Sunday O
: O

Feyenoord O
Rotterdam B-LOC
3 O
( O
Sanchez O
27th O
, O
Taument O
44th O
, O
57th O
) O

Volendam O
0 O
. O

Halftime O
2-0 O
. O

Attendance O
not O
given O
. O

NEC O
Nijmegen O
0 O
AZ O
Alkmaar O
0 O
. O

Attendance O
not O
given O
. O

Vitesse O
Arnhem O
1 O
( O
Van O
Wanrooy O
58th O
) O
Utrecht O
0 O
. O

Halftime O
0-0 O
. O

Attendance O
7,032 O
. O

Twente O
Enschede O
1 O
( O
Hoogma O
30th O
) O
Roda O
JC O
Kerkrade O
1 O
( O
Roelofsen O

28th O
) O
. O

Halftime O
1-1 O
. O

Attendance O
not O
given O
. O

PSV O
Eindhoven O
4 O
( O
Faber O
32nd O
, O
Nilis O
63rd O
79th O
, O
Petrovic O
78th O
) O

Groningen O
1 O
( O
Gorre O
7th O
) O
. O

Halftime O
1-1 O
. O

Attendance O
27,500 O

Played O
on O
Saturday O
: O

Graafschap O
Doetinchem O
3 O
( O
Ibrahim O
20th O
63rd O
, O
Godee O
54th O
) O
RKC O

Waalwijk O
2 O
( O
Dos O
Santos O
38th O
, O
Van O
Arum O
73th O
penalty O
) O
. O

Halftime O

1-1 O
. O

Attendance O
7,000 O

Willem O
II O
Tilburg O
0 O
Fortuna O
Sittard O
1 O
( O
Hamming O
65th O
) O
. O

Halftime O

0-0 O
. O

Attendance O
7,250 O
. O

NAC O
Breda O
1 O
( O
Arnold O
70th O
) O
Sparta O
Rotterdam B-LOC
0 O
. O

Haldtime O
0-0 O
. O

Attendance O
11,500 O
. O

Heerenveen O
2 O
( O
Wouden O
53rd O
, O
Dahl O
Tomasson O
74th O
) O
Ajax O
Amsterdam B-LOC

0. O
Halftime O
0-0 O
. O

Attendance O
13,500 O
. O

