
SOCCER B-MISC
- O
GLORIA B-PER
BISTRITA I-PER
BEAT O
2-1 O
F.C. B-PER
VALLETTA I-PER
. O

BISTRITA O
1996-08-22 O

Gloria B-PER
Bistrita I-PER
( O
Romania B-LOC
) O
beat O
2-1 O
( O
halftime O
1-1 O
) O
F.C. B-PER
Valletta I-PER
( O
Malta B-LOC
) O
in O
their O
Cup O
winners O
Cup O
match O
, O
second O
leg O
of O
the O
preliminary O
round O
, O
on O
Thursday O
. O

Scorers O
: O

Gloria B-PER
Bistrita I-PER
- O
Ilie B-PER
Lazar I-PER
( O
32nd O
) O
, O
Eugen B-PER
Voica I-PER
( O
84th O
) O

F.C. O
La O
Valletta O
- O
Gilbert B-PER
Agius I-PER
( O
24th O
) O

Attendance O
: O
8,000 O

Gloria B-PER
Bistrita I-PER
won O
4-2 O
on O
aggregate O
and O
qualified O
for O
the O
first O
round O
of O
the O
Cup O
winners O
Cup O
. O

REUTER O

