
SOCCER B-ORG
- I-ORG
EUROPEAN I-ORG
CUP I-ORG
WINNERS I-ORG
' O
CUP O
RESULTS O
. O

TIRANA B-LOC
1996-08-22 O

Results O
of O
European O
Cup O
Winners O
' O

Cup O
qualifying O
round O
, O
second O
leg O
soccer O
matches O
on O
Thursday O
: O

In O
Tirana B-LOC
: O
Flamurtari B-PER
Vlore I-PER
( O
Albania O
) O
0 O
Chemlon B-PER
Humenne I-PER

( O
Slovakia O
) O
2 O
( O
halftime O
0-0 O
) O

Scorers O
: O
Lubarskij O
( O
50th O
minute O
) O
, O
Valkucak O
( O
54th O
) O

Attendance O
: O
5,000 O

Chemlon B-PER
Humenne I-PER
win O
3-0 O
on O
aggregate O

In O
Bistrita O
: O
Gloria O
Bistrita O
( O
Romania O
) O
2 O
Valletta O
( O
Malta O
) O
1 O

( O
1-1 O
) O

Scorers O
: O

Gloria O
Bistrita O
- O
Ilie O
Lazar O
( O
32nd O
) O
, O
Eugen O
Voica O
( O
84th O
) O

Valletta O
- O
Gilbert O
Agius O
( O
24th O
) O

Attendance O
: O
8,000 O

Gloria O
Bistrita O
win O
4-2 O
on O
aggregate O
. O

In O
Chorzow O
: O
Ruch O
Chorzow O
( O
Poland O
) O
5 O
Llansantffraid O
( O
Wales O
) O
0 O

( O
1-0 O
) O

Scorers O
: O
Arkadiusz O
Bak O
( O
1st O
and O
55th O
) O
, O
Arwel O
Jones O
( O
47th O
, O

own O
goal O
) O
, O
Miroslav O
Bak O
( O
62nd O
and O
63rd O
) O

Attendance O
: O
6,500 O

Ruch O
Chorzow O
win O
6-1 O
on O
aggregate O

In O
Larnaca O
: O
AEK O
Larnaca O
( O
Cyprus O
) O
5 O
Kotaik O
Abovyan O
( O
Armenia O
) O

0 O
( O
2-0 O
) O

Scorers O
: O
Zoran O
Kundic O
( O
28th O
) O
, O
Klimis O
Alexandrou O
( O
41st O
) O
, O

Milenko O
Kovasevic O
( O
60th O
, O
penalty O
) O
, O
Goran O
Koprinovic O
( O
82nd O
) O
, O

Pavlos O
Markou O
( O
84th O
) O

Attendance O
: O
5,000 O

AEK O
Larnaca O
win O
5-1 B-MISC
on I-MISC
aggregate I-MISC

In O
Siauliai O
: O
Kareda O
Siauliai O
( O
Lithuania O
) O
0 O
