
TENNIS B-ORG
- I-ORG
RESULTS I-ORG
AT I-ORG
TOSHIBA I-ORG
CLASSIC I-ORG
. O

CARLSBAD O
, O
California B-LOC
1996-08-21 O

Results O
from O
the O

$ O
450, O
000 B-MISC
Toshiba I-MISC
Classic O
tennis O
tournament O
on O
Wednesday O

( O
prefix O
number O
denotes O
seeding O
) O
: O

Second O
round O

1 O
- O
Arantxa B-PER
Sanchez I-PER
Vicario I-PER
( O
Spain O
) O
beat O
Naoko B-PER
Kijimuta I-PER
( O
Japan O
) O

1-6 O
6-4 O
6-3 O

4 O
- O
Kimiko O
Date O
( O
Japan O
) O
beat O
Yone B-PER
Kamio I-PER
( O
Japan O
) O
6-2 B-MISC
7-5 I-MISC

Sandrine B-PER
Testud I-PER
( O
France O
) O
beat O
7 O
- O
Ai B-PER
Sugiyama I-PER
( O
Japan O
) O
6-3 O
4-6 O

6-4 O

8 O
- O
Nathalie B-PER
Tauziat I-PER
( O
France O
) O
beat O
Shi-Ting O
Wang O
( O
Taiwan O
) O
6-4 O

6-2 O

