
CRICKET B-ORG
- I-ORG
ENGLISH I-ORG
COUNTY I-ORG
CHAMPIONSHIP I-ORG
SCORES I-ORG
. O

LONDON B-LOC
1996-08-23 O

Close O
of O
play O
scores O
in O
four-day O

English O
County O
Championship O
cricket O
matches O
on O
Friday O
: O

Third O
day O

At O
Weston-super-Mare O
: O
Durham O
326 O
( O
D. B-PER
Cox I-PER
95 B-MISC
not I-MISC
out I-MISC
, O

S. B-PER
Campbell I-PER
69 O
; O
G. B-PER
Rose I-PER
7-73 O
) O
. O

Somerset O
298-6 O
( O
M. B-PER
Lathwell I-PER
85 O
, O

R. O
Harden O
65 O
) O
. O

Second O
day O

At O
Colchester O
: O
Gloucestershire O
280 O
( O
J. O
Russell O
63 O
, O
A. O
Symonds O

52 O
; O
A. O
Cowan O
5-68 O
) O
. O

Essex O
194-0 O
( O
G. O
Gooch O
105 B-MISC
not I-MISC
out I-MISC
, O
D. O
Robinson O

72 O
not O
out O
) O
. O

At O
Cardiff O
: O
Kent O
255-3 O
( O
D. O
Fulton O
64 O
, O
M. O
Walker O
59 O
, O
C. O
Hooper O

52 O
not O
out O
) O
v O
Glamorgan O
. O

At O
Leicester O
: O
Leicestershire O
343-8 O
( O
P. O
Simmons O
108 O
, O
P. O
Nixon O

67 O
not O
out O
) O
v O
Hampshire O
. O

At O
Northampton O
: O
Sussex O
389 O
( O
N. O
Lenham O
145 O
, O
V. O
Drakes O
59 O
, O

A. O
Wells O
51 O
; O
A. O
Penberthy O
4-36 O
) O
. O

Northamptonshire O
160-4 O
( O
K. O
Curran O

79 O
not O
out O
) O
. O

At O
Trent O
Bridge O
: O
Nottinghamshire O
392-6 O
( O
G. B-PER
Archer I-PER
143 O
not O

out O
, O
M. O
Dowman O
107 O
) O
v O
Surrey O
. O

At O
Worcester B-LOC
: O
Warwickshire O
310 O
( O
A. O
Giles O
83 O
, O
T. O
Munton O
54 O
not O

out O
, O
W. O
Khan O
52 O
; O
R. O
Illingworth O
4-54 O
, O
S. O
Lampitt O
4-90 O
) O
. O

Worcester B-LOC
shire O
10-0 O
. O

At O
Headingley O
: O
Yorkshire O
529-8 O
declared O
( O
C. O
White O
181 O
, O

R. O
Blakey O
109 O
not O
out O
, O
M. O
Moxon O
66 O
, O
M. O
Vaughan O
57 O
) O
. O

Lancashire B-LOC

162-4 O
( O
N. O
Fairbrother O
53 O
not O
out O
) O
. O

