
SOCCER B-ORG
- I-ORG
EURO I-ORG
CLUB I-ORG
COMPETITION I-ORG
FIRST O
ROUND O
DRAWS O
. O

GENEVA B-LOC
1996-08-23 O

Draws O
for O
the O
first O
round O
of O
the O
European O
club O
soccer O
competitions O
made O
on O
Friday O
( O
x O
denotes O
seeded O
team O
) O
: O

UEFA B-MISC
Cup I-MISC
Lyngby O
( O
Denmark B-LOC
) O
v O
x-Club O
Brugge O
( O
Belgium B-LOC
) O
Casino O
Graz O
( O
Austria O
) O
v O
Ekeren O
( O
Belgium B-LOC
) O
Besiktas O
( O
Turkey B-LOC
) O
v O
Molenbeek O
( O
Belgium B-LOC
) O
Alania O
Vladikavkaz O
( O
Russia B-LOC
) O
v O
x-Anderlecht O
( O
Belgium B-LOC
) O

Cup O
Winners O
' O
Cup B-MISC
x-Cercle I-MISC
Brugge O
( O
Belgium B-LOC
) O
v O
Brann O
Bergen O
( O
Norway B-LOC
) O

