
BASEBALL B-ORG
- I-ORG
MAJOR I-ORG
LEAGUE I-ORG
STANDINGS I-ORG
AFTER O
THURSDAY O
'S O
GAMES O
. O

NEW B-LOC
YORK I-LOC
1996-08-23 O

Major O
League O
Baseball O

standings O
after O
games O
played O
on O
Thursday O
( O
tabulate O
under O
won O
, O

lost O
, O
winning O
percentage O
and O
games O
behind O
) O
: O

AMERICAN O
LEAGUE O

EASTERN O
DIVISION O

W O
L O
PCT O
GB O

NEW B-LOC
YORK I-LOC
72 O
54 O
.571 O
- O

BALTIMORE B-MISC
67 I-MISC
59 I-MISC
.532 I-MISC
5 I-MISC

BOSTON O
64 O
64 O
.500 O
9 O

TORONTO O
59 O
69 O
.461 O
14 O

DETROIT O
45 O
82 O
.354 O
27 O
1/2 O

CENTRAL O
DIVISION O

CLEVELAND O
76 O
51 O
.598 O
- O

CHICAGO O
69 O
60 O
.535 O
8 O

MINNESOTA O
63 O
64 O
.496 O
13 O

MILWAUKEE O
60 O
68 O
.469 O
16 O
1/2 O

KANSAS O
CITY O
58 O
71 O
.450 O
19 O

WESTERN O
DIVISION O

TEXAS O
74 O
54 O
.578 O
- O

SEATTLE B-MISC
65 I-MISC
61 I-MISC
.516 I-MISC
8 I-MISC

OAKLAND O
62 O
68 O
.477 O
13 O

CALIFORNIA O
59 O
68 O
.465 O
14 O
1/2 O

FRIDAY O
, O
AUGUST O
23 O
SCHEDULE O

SEATTLE O
AT O
BOSTON O

MILWAUKEE O
AT O
CLEVELAND O

CALIFORNIA O
AT O
BALTIMORE O

OAKLAND O
AT O
NEW B-LOC
YORK I-LOC

TORONTO O
AT O
CHICAGO O

DETROIT O
AT O
KANSAS O
CITY O

TEXAS O
AT O
MINNESOTA O

NATIONAL O
LEAGUE O

EASTERN O
DIVISION O

W O
L O
PCT O
GB O

ATLANTA O
79 O
47 O
.627 O
- O

MONTREAL O
68 O
58 O
.540 O
11 O

NEW B-LOC
YORK I-LOC
59 O
69 O
.461 O
21 O

FLORIDA O
58 O
69 O
.457 O
21 O
1/2 O

PHILADELPHIA O
52 O
76 O
.406 O
28 O

CENTRAL O
DIVISION O

HOUSTON O
68 O
60 O
.531 O
- O

ST O
LOUIS O
67 O
60 O
.528 O
1/2 O

CHICAGO O
63 O
62 O
.504 O
3 O
1/2 O

CINCINNATI O
63 O
62 O
.504 O
3 O
1/2 O

PITTSBURGH O
54 O
73 O
.425 O
13 O
1/2 O

WESTERN O
DIVISION O

SAN O
DIEGO O
70 O
59 O
.543 O
- O

LOS B-LOC
ANGELES I-LOC
67 O
60 O
.528 O
2 O

COLORADO B-MISC
66 I-MISC
62 I-MISC
.516 I-MISC
3 I-MISC
1/2 I-MISC

SAN O
FRANCISCO O
54 O
71 O
.432 O
14 O

FRIDAY O
, O
AUGUST O
23 O
SCHEDULE O

CINCINNATI O
AT O
FLORIDA O
( O
doubleheader O
) O

CHICAGO O
AT O
ATLANTA O

ST O
LOUIS O
AT O
HOUSTON O

PITTSBURGH O
AT O
COLORADO O

NEW B-LOC
YORK I-LOC
AT O
LOS B-LOC
ANGELES I-LOC

PHILADELPHIA O
AT O
SAN O
DIEGO O

MONTREAL O
AT O
SAN O
FRANCISCO O

