
RUGBY B-ORG
UNION I-ORG
- O
NEW B-LOC
ZEALAND I-LOC
DEFEAT O
SOUTH B-LOC
AFRICA I-LOC
33-26 O
. O

PRETORIA B-LOC
, O
South B-LOC
Africa I-LOC
1996-08-24 O

New B-LOC
Zealand I-LOC
beat O
South B-LOC
Africa I-LOC
33-26 O
( O
halftime O
21-11 O
) O
in O
the O
second O
test O
on O
Saturday O
. O

Scorers O
: O

South B-LOC
Africa I-LOC
- O
Tries O
: O
Hannes B-PER
Strydom I-PER
, O
Ruben B-PER
Kruger I-PER
, O
Joost B-PER
van I-PER
der I-PER
Westhuizen I-PER
. O

Penalties O
: O
Joel B-PER
Stranksy I-PER
( O
3 O
) O
. O

Conversion O
: O
Stranksy B-PER
. O

New B-LOC
Zealand I-LOC
- O
Tries O
: O
Jeff B-PER
Wilson I-PER
( O
2 O
) O
, O
Zinzan B-PER
Brooke I-PER
. O

Penalties O
: O
Simon B-PER
Culhane I-PER
, O
Jon B-PER
Preston I-PER
( O
2 O
) O
. O

Conversions O
: O
Culhane B-PER
( O
3 O
) O
. O

Drop O
goal O
: O
Zinzan B-PER
Brooke I-PER
. O

New B-LOC
Zealand I-LOC
lead O
the O
three-test O
series O
2-0 O
. O

